driverId,p_campeon,p_top3,expected_points
antonelli,0.8125,0.9995,385.0
hamilton,0.1525,0.979,347.9
russell,0.0325,0.7595,313.6
max_verstappen,0.0025,0.1345,262.8
arvid_lindblad,0.0,0.0,8.6
stroll,0.0,0.0,9.2
perez,0.0,0.0,0.2
bottas,0.0,0.0,3.6
hulkenberg,0.0,0.0,3.1
albon,0.0,0.0,7.2
ocon,0.0,0.0,4.2
bortoleto,0.0,0.0,3.7
hadjar,0.0,0.0,23.5
sainz,0.0,0.0,56.4
colapinto,0.0,0.0,56.3
lawson,0.0,0.0,56.1
bearman,0.0,0.0,31.8
gasly,0.0,0.0,69.5
piastri,0.0,0.0,195.2
norris,0.0,0.068,244.3
leclerc,0.0,0.0595,265.7
alonso,0.0,0.0,1.0
