driverId,p_campeon,p_top3,expected_points
antonelli,0.8688,1.0,433.78000000000003
russell,0.1298,0.9847999999999999,362.12
piastri,0.001,0.46399999999999997,263.65999999999997
leclerc,0.0004,0.4232,260.84000000000003
albon,0.0,0.0,13.4
lawson,0.0,0.0,58.739999999999995
sainz,0.0,0.0,22.28
perez,0.0,0.0,12.919999999999998
ocon,0.0,0.0,29.5
norris,0.0,0.0858,221.76
max_verstappen,0.0,0.0,123.84
hulkenberg,0.0,0.0,45.28
alonso,0.0,0.0,14.1
hamilton,0.0,0.0422,214.82
hadjar,0.0,0.0,65.12
gasly,0.0,0.0,65.46000000000001
colapinto,0.0,0.0,48.260000000000005
bottas,0.0,0.0,14.319999999999999
bortoleto,0.0,0.0,28.04
bearman,0.0,0.0,64.67999999999999
arvid_lindblad,0.0,0.0,65.12
stroll,0.0,0.0,9.879999999999999
