driverId,mean_position,p_victoria_gp,p_podio_gp
hamilton,3.0,0.2334,0.6378
antonelli,4.17,0.1542,0.4882
leclerc,4.72,0.0462,0.2298
russell,5.24,0.1636,0.4926
max_verstappen,6.44,0.1784,0.4914
norris,8.32,0.1604,0.417
piastri,9.11,0.0634,0.2386
sainz,9.7,0.0002,0.0016
colapinto,9.87,0.0,0.0002
gasly,10.12,0.0,0.0014
lawson,10.9,0.0002,0.0012
bearman,12.72,0.0,0.0
hadjar,14.45,0.0,0.0
ocon,14.88,0.0,0.0
stroll,15.03,0.0,0.0
albon,15.05,0.0,0.0
arvid_lindblad,15.29,0.0,0.0
bottas,15.33,0.0,0.0
hulkenberg,16.21,0.0,0.0
bortoleto,16.42,0.0,0.0002
perez,17.94,0.0,0.0
alonso,18.09,0.0,0.0
